"","SqlTrace"
"358","exec sp_cursorfetch 180150051,16,56,1"
"359","exec sp_cursorfetch 180150051,16,57,1"
"360","declare @p1 int
set @p1=180150053
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_USAGERS WITH(NOLOCK) WHERE UsagerID = ''ed50617RSC'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"361","exec sp_cursorfetch 180150053,16,1,1"
"362","exec sp_cursorclose 180150053"
"363","declare @p1 int
set @p1=180150055
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"364","exec sp_cursorfetch 180150055,16,1,1"
"365","exec sp_cursorclose 180150055"
"366","declare @p1 int
set @p1=180150057
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''39'' AND USER_CLASS=''RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"367","exec sp_cursorfetch 180150057,16,1,1"
"368","exec sp_cursorclose 180150057"
"369","declare @p1 int
set @p1=180150059
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"370","exec sp_cursorfetch 180150059,16,1,1"
"371","exec sp_cursorclose 180150059"
"372","declare @p1 int
set @p1=180150061
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''40'' AND USER_CLASS=''RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"373","exec sp_cursorfetch 180150061,16,1,1"
"374","exec sp_cursorclose 180150061"
"375","declare @p1 int
set @p1=180150063
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"376","exec sp_cursorfetch 180150063,16,1,1"
"377","exec sp_cursorclose 180150063"
"378","declare @p1 int
set @p1=180150065
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''13'' AND USER_CLASS=''RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"379","exec sp_cursorfetch 180150065,16,1,1"
"380","exec sp_cursorclose 180150065"
"381","declare @p1 int
set @p1=180150067
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"382","exec sp_cursorfetch 180150067,16,1,1"
"383","exec sp_cursorclose 180150067"
"384","declare @p1 int
set @p1=180150069
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''10'' AND USER_CLASS=''RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"385","exec sp_cursorfetch 180150069,16,1,1"
"386","exec sp_cursorclose 180150069"
"387","declare @p1 int
set @p1=180150071
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"388","exec sp_cursorfetch 180150071,16,1,1"
"389","exec sp_cursorclose 180150071"
"390","declare @p1 int
set @p1=180150073
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''47'' AND USER_CLASS=''RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"391","exec sp_cursorfetch 180150073,16,1,1"
"392","exec sp_cursorclose 180150073"
"393","declare @p1 int
set @p1=180150075
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT NOM_VILLE from GMP_VILLE  where ID_VILLE = ''''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"394","exec sp_cursorfetch 180150075,16,1,1"
"395","exec sp_cursorclose 180150075"
"396","declare @p1 int
set @p1=180150077
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT TOP 1 RTRIM(u.FName) + '' '' + RTRIM(u.LName) + '': '' + RTRIM(hlt.Task_Description)  as TraiterPar FROM HS_Liste_Tache hlt     INNER JOIN gmp_Usagers u on hlt.UsagerResponsable= u.UsagerID       INNER JOIN sv00560 on hlt.Task_Code= sv00560.Task_Code WHERE hlt.CustNmbr= ''''     AND hlt.AdrsCode= ''''     AND hlt.Status_of_Call <> ''COMPLETE''     AND hlt.UsagerResponsable <> ''''     AND sv00560.EstAfficherTraiterPar= 1 ORDER BY hlt.Priority desc',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"397","exec sp_cursorfetch 180150077,16,1,1"
"398","exec sp_cursorclose 180150077"
"399","declare @p1 int
set @p1=180150079
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"400","exec sp_cursorfetch 180150079,16,1,1"
"401","exec sp_cursorclose 180150079"
"402","declare @p1 int
set @p1=180150081
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''38'' AND USER_CLASS=''RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"403","exec sp_cursorfetch 180150081,16,1,1"
"404","exec sp_cursorclose 180150081"
"405","declare @p1 int
set @p1=180150083
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT SV00515.Contract_Internal_Name FROM SV00515  LEFT JOIN GMP_SV00515  ON SV00515.Contract_Internal_Name = GMP_SV00515.Contract_Internal_Name  WHERE (GMP_SV00515.Desuet = ''0''  AND GMP_SV00515.Securite = ''0''  AND DateFin >= Convert(DateTime,getdate(),112)) OR SV00515.Contract_Internal_Name = ''''  ORDER BY SV00515.Contract_Internal_Name ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"406","exec sp_cursorfetch 180150083,16,1,1"
"407","declare @p1 int
set @p1=180150085
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' Select  isnull(Message_Special,0) as Message_Special from GMP_Message_Special  where ID_Message = ''''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"408","exec sp_cursorfetch 180150085,16,1,1"
"409","exec sp_cursorclose 180150085"
"410","declare @p1 int
set @p1=180150087
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_USAGERS WITH(NOLOCK) WHERE UsagerID = ''ed50617RSC'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"411","exec sp_cursorfetch 180150087,16,1,1"
"412","exec sp_cursorclose 180150087"
"413","declare @p1 int
set @p1=180150089
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select Security_Group from GMP_USAGERS where UsagerID = ''ed50617RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"414","exec sp_cursorfetch 180150089,16,1,1"
"415","exec sp_cursorclose 180150089"
"416","declare @p1 int
set @p1=180150091
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select Security_Group from GMP_USAGERS where UsagerID = ''ed50617RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"417","exec sp_cursorfetch 180150091,16,1,1"
"418","exec sp_cursorclose 180150091"
"419","declare @p1 int
set @p1=180150093
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT e.*  FROM HS_Equipement e     INNER JOIN sv00405 de ON e.User_Define_5a= de.sub_4 WHERE CUSTNMBR = ''''  AND ADRSCODE = '''' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"420","exec sp_cursorfetch 180150093,16,1,1"
"421","exec sp_cursorclose 180150093"
"422","declare @p1 int
set @p1=180150095
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT MAX(HS_Client.Payeur_CustNmbr) AS Payeur_CustNmbr FROM HS_Client  WHERE HS_Client.Payeur_CustNmbr < '''' AND HS_Client.Payeur_AdrsCode = ''SERVICE'' AND HS_Client.ADRSCODE= ''SERVICE''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"423","exec sp_cursorfetch 180150095,16,1,1"
"424","exec sp_cursorclose 180150095"
"425","declare @p1 int
set @p1=180150097
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT MIN(HS_Client.Payeur_CustNmbr) AS Payeur_CustNmbr FROM HS_Client  WHERE HS_Client.Payeur_CustNmbr > '''' AND HS_Client.Payeur_AdrsCode = ''SERVICE'' AND HS_Client.ADRSCODE= ''SERVICE''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"426","exec sp_cursorfetch 180150097,16,1,1"
"427","exec sp_cursorclose 180150097"
"428","declare @p1 int
set @p1=180150099
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT MAX(HS_Client.CUSTNMBR) AS CUSTNMBR FROM HS_Client  WHERE HS_Client.CUSTNMBR < '''' AND HS_Client.ADRSCODE = ''SERVICE'' and Payeur_CustNmbr = ''''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"429","exec sp_cursorfetch 180150099,16,1,1"
"430","exec sp_cursorclose 180150099"
"431","declare @p1 int
set @p1=180150101
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT MIN(HS_Client.CUSTNMBR) AS CUSTNMBR FROM HS_Client  WHERE HS_Client.CUSTNMBR > '''' AND HS_Client.ADRSCODE = ''SERVICE'' and Payeur_CustNmbr = ''''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"432","exec sp_cursorfetch 180150101,16,1,1"
"433","exec sp_cursorclose 180150101"
"434","declare @p1 int
set @p1=180150103
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'select top 1 HS_Client.adrscode  from HS_Client inner join hs_client old on HS_Client.custnmbr = old.custnmbr and case left(HS_Client.adrscode, 6) when ''HISTO-'' then SUBSTRING (HS_Client.adrscode ,7 , 4)  else 999 end <  case left(old.adrscode, 6) when ''HISTO-'' then SUBSTRING (old.adrscode ,7 , 4)  else 999 end where old.CUSTNMBR = '''' and old.adrscode = '''' order by case left(HS_Client.adrscode, 6) when ''HISTO-'' then SUBSTRING (HS_Client.adrscode ,7 , 4)  else 999 end desc',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"435","exec sp_cursorfetch 180150103,16,1,1"
"436","exec sp_cursorclose 180150103"
"437","declare @p1 int
set @p1=180150105
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'select top 1 HS_Client.adrscode  from HS_Client inner join hs_client old on HS_Client.custnmbr = old.custnmbr and case left(HS_Client.adrscode, 6) when ''HISTO-'' then SUBSTRING (HS_Client.adrscode ,7 , 4)  else 999 end >  case left(old.adrscode, 6) when ''HISTO-'' then SUBSTRING (old.adrscode ,7 , 4)  else 999 end where old.CUSTNMBR = '''' and old.adrscode = '''' order by case left(HS_Client.adrscode, 6) when ''HISTO-'' then SUBSTRING (HS_Client.adrscode ,7 , 4)  else 999 end',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"438","exec sp_cursorfetch 180150105,16,1,1"
"439","exec sp_cursorclose 180150105"
"440","declare @p1 int
set @p1=180150107
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT MAX(Contract_Number) AS Contract_Number FROM HS_Produit  WHERE Contract_Number < '''' AND CUSTNMBR = '''' AND ADRSCODE = '''' AND WS_Closed = ''0''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"441","exec sp_cursorfetch 180150107,16,1,1"
"442","exec sp_cursorclose 180150107"
"443","declare @p1 int
set @p1=180150109
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT MIN(Contract_Number) AS Contract_Number FROM HS_Produit  WHERE Contract_Number > '''' AND CUSTNMBR = '''' AND ADRSCODE = '''' AND WS_Closed = ''0''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"444","exec sp_cursorfetch 180150109,16,1,1"
"445","exec sp_cursorclose 180150109"
"446","declare @p1 int
set @p1=180150111
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT MAX(Service_Call_ID) AS Service_Call_ID FROM HS_Appel  WHERE Service_Call_ID < '''' AND CUSTNMBR = '''' AND ADRSCODE = ''''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"447","exec sp_cursorfetch 180150111,16,1,1"
"448","exec sp_cursorclose 180150111"
"449","declare @p1 int
set @p1=180150113
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT MIN(Service_Call_ID) AS Service_Call_ID FROM HS_Appel  WHERE Service_Call_ID > '''' AND CUSTNMBR = '''' AND ADRSCODE = ''''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"450","exec sp_cursorfetch 180150113,16,1,1"
"451","exec sp_cursorclose 180150113"
"452","declare @p1 int
set @p1=180150115
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SYSTEME ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"453","exec sp_cursorfetch 180150115,16,1,1"
"454","exec sp_cursorclose 180150115"
"455","declare @p1 int
set @p1=180150117
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SYSTEME ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"456","exec sp_cursorfetch 180150117,16,1,1"
"457","exec sp_cursorclose 180150117"
"458","exec sp_cursorclose 180150083"
"459","declare @p1 int
set @p1=180150119
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT sv000805.*, ISNULL(t.Task_Description, sv000805.Note_Service_Index) as Subject  , CASE WHEN ISNULL(t.Task_Description, '''') <> '''' THEN 1 ELSE 0 END as ModeTache, a.Type_of_Problem , RTRIM(sv000805.CustNmbr) + ''_'' + RTRIM(sv000805.AdrsCode) + ''_'' + RTRIM(sv000805.Service_Call_ID) + ''_'' + RTRIM(sv000805.Ws_Note_Type) + ''_'' + RTRIM(sv000805.Note_Service_Index) as NoteKey FROM SV000805  LEFT JOIN HS_Appel a on sv000805.Service_Call_ID= a.Service_Call_ID LEFT JOIN HS_Tache t on sv000805.Service_Call_ID= t.Service_Call_ID         AND t.Task_Line_Number= CASE WHEN ISNUMERIC(sv000805.Note_Service_Index)= 1 THEN sv000805.Note_Service_Index ELSE 0 END WHERE UPPER(Reminder_Author) = ''ED50617RSC''  AND Reminder = ''1''  AND Reminder_Date <= CONVERT(DATETIME,''2016-11-10 08:13:00'')  AND Reminder_Date >= CONVERT(DATETIME,''2000-01-01 00:00:00'')  AND sv000805.WSReserved_CB5= 0  ORDER BY  Reminder_Date ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"460","exec sp_cursoroption 180150119,1,0"
"461","exec sp_cursorfetch 180150119,16,1,1"
"462","exec sp_cursorclose 180150119"
"463","declare @p1 int
set @p1=180150121
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=14
exec sp_cursoropen @p1 output,N'SELECT * FROM hs_Repeat_Rappel ORDER BY 2 ASC',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"464","exec sp_cursorfetch 180150121,16,1,1"
"465","exec sp_cursorfetch 180150121,16,2,1"
"466","exec sp_cursorfetch 180150121,16,3,1"
"467","exec sp_cursorfetch 180150121,16,4,1"
"468","exec sp_cursorfetch 180150121,16,5,1"
"469","exec sp_cursorfetch 180150121,16,6,1"
"470","exec sp_cursorfetch 180150121,16,7,1"
"471","exec sp_cursorfetch 180150121,16,8,1"
"472","exec sp_cursorfetch 180150121,16,9,1"
"473","exec sp_cursorfetch 180150121,16,10,1"
"474","exec sp_cursorfetch 180150121,16,11,1"
"475","exec sp_cursorfetch 180150121,16,12,1"
"476","exec sp_cursorfetch 180150121,16,13,1"
"477","exec sp_cursorfetch 180150121,16,14,1"
"478","exec sp_cursorfetch 180150121,16,15,1"
"479","exec sp_cursorclose 180150121"
"480","exec sp_cursorclose 180150051"
"481","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"482","declare @p1 bigint
set @p1=283096
exec NewSession_ID @p1 output
select @p1"
"483","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"484","Insert into HS_ACTIVITY (Usager_ID,Usager_Reseau,Version_App,Nom_Machine,IP_Machine,LOGIN_DATE,LOGIN_TIME,LOGOUT_DATE,LOGOUT_TIME,ID_SESSION)  values ('ed50617RSC','Edjuikom','HydroSoft_5-96-3', 'DEV01-HS','10.10.21.30', CONVERT(DATETIME,'2016-11-10'),'08:13','1900-01-01','00:00','283096')"
"485","Insert into HS_ACTIVITY (Usager_ID,Usager_Reseau,Version_App,Nom_Machine,IP_Machine,LOGIN_DATE,LOGIN_TIME,LOGOUT_DATE,LOGOUT_TIME,ID_SESSION)  values ('ed50617RSC','Edjuikom','HydroSoft_5-96-3', 'DEV01-HS','10.10.21.30', CONVERT(DATETIME,'2016-11-10'),'08:13','1900-01-01','00:00','283096')"
"486","declare @p1 int
set @p1=180150123
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=9
exec sp_cursoropen @p1 output,N'SELECT * FROM HS_ProprietaireAdhere ORDER BY ID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"487","exec sp_cursorfetch 180150123,16,1,1"
"488","exec sp_cursorfetch 180150123,16,2,1"
"489","exec sp_cursorfetch 180150123,16,3,1"
"490","exec sp_cursorfetch 180150123,16,4,1"
"491","exec sp_cursorfetch 180150123,16,5,1"
"492","exec sp_cursorfetch 180150123,16,6,1"
"493","exec sp_cursorfetch 180150123,16,7,1"
"494","exec sp_cursorfetch 180150123,16,8,1"
"495","exec sp_cursorfetch 180150123,16,9,1"
"496","exec sp_cursorfetch 180150123,16,10,1"
"497","exec sp_cursorclose 180150123"
"498","declare @p1 int
set @p1=180150125
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT COUNT(*) FROM INFORMATION_SCHEMA.COLUMNS  WHERE TABLE_NAME = ''gmp_systeme''   AND  COLUMN_NAME = ''isNewTaxCalc''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"499","exec sp_cursorfetch 180150125,16,1,1"
"500","exec sp_cursorclose 180150125"
"501","declare @p1 int
set @p1=180150127
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT isNewTaxCalc FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"502","exec sp_cursorfetch 180150127,16,1,1"
"503","exec sp_cursorclose 180150127"
"504","declare @p1 int
set @p1=180150129
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=584
exec sp_cursoropen @p1 output,N'SELECT * FROM sv00560 order by Task_Code',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"505","exec sp_cursorfetch 180150129,16,1,1"
"506","exec sp_cursorfetch 180150129,16,2,1"
"507","exec sp_cursorfetch 180150129,16,3,1"
